"Indeksi cen stanovanjskih nepremiènin po vrstah stanovanjskih nepremiènin, Slovenija, èetrtletno"

"STANOVANJSKE NEPREMIÈNINE";"2007Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2008Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2009Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2010Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2011Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2012Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2013Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2014Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2015Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2016Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2017Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2018Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2019Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2020Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta";"2021Q1 Èetrtletje / zadnje èetrtletje prejšnjega leta"
"1 Stanovanjske nepremiènine - SKUPAJ";109.2;101.4;93.8;100.4;104.7;95.9;100.7;98.3;101.4;102.2;102.0;101.8;101.1;101.0;103.1
"1.1 Nove stanovanjske nepremiènine";103.3;100.7;89.6;98.2;105.9;93.2;103.8;102.0;101.0;96.7;101.1;106.7;104.3;100.1;107.5
"1.1.1 Nova stanovanja";103.3;101.8;89.6;101.5;106.2;92.0;107.5;102.0;102.1;95.6;99.4;107.8;104.1;99.7;107.0
"1.1.2 Nove družinske hiše";...;96.1;89.5;91.5;105.0;98.6;92.7;101.9;96.5;102.0;109.4;99.6;105.5;103.9;108.6
"1.2 Rabljene stanovanjske nepremiènine";112.7;102.0;96.7;102.5;103.7;97.5;99.3;96.9;101.5;103.3;102.2;100.8;100.6;101.1;102.9
"1.2.1 Rabljena stanovanja,Slovenija";112.6;101.1;96.5;103.3;102.8;97.7;101.3;96.3;102.2;102.5;102.5;103.2;101.3;101.4;103.8
"1.2.1.1 Rabljena stanovanja, Mestna obèina Ljubljana";109.9;98.2;93.8;99.5;102.1;98.7;96.5;98.2;102.2;102.8;103.5;104.6;99.5;100.9;103.7
"1.2.1.2 Rabljena stanovanja, preostala Slovenija (brez Mestne obèine Ljubljana)";114.6;102.9;98.3;105.5;103.3;97.1;104.7;95.1;102.2;102.3;101.7;102.3;102.4;101.7;103.8
"1.2.1.2.1 Rabljena stanovanja, Mestna obèina Maribor";...;...;...;...;...;...;...;...;100.7;103.1;100.6;105.5;103.9;100.1;104.6
"1.2.1.2.2 Rabljena stanovanja, preostala Slovenija (brez mestnih obèin Ljubljana in Maribor)";...;...;...;...;...;...;...;...;101.7;102.6;102.0;102.1;103.3;102.1;103.6
"1.2.2 Rabljene družinske hiše";113.0;103.7;97.2;100.2;106.0;97.1;95.2;98.1;100.2;105.1;101.7;96.1;99.1;100.7;101.4
